FID,NAME,HH,pop,hhsize,sexratio,p0_14,p15_64,p65u,curborn,forborn,firstgen,secgen,thirdgen,leave,stay,meanHHinc,GFR,unemploy,partrate,airpolut,badcond,nvrmarr,married,divorced,consuni,area,popdens,CreationDate,Creator,EditDate,Editor,x,y
1,PARADIJS BIJ HEL,23,59,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,32.7,46.9,8.2,4.1,0.136,433.823505835448,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
2,ABRAHAMSZ,220,573,2.5,85,0.162,0.651,0.187,0.713,0.287,0.287,0.222,0.49,0.023,0.59,7556,33,4.4,60.3,3.3,0.8,28.8,43.4,7.3,10,0.307,1866.44944327419,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
3,PARASASA,78,171,2.2,82,0.164,0.655,0.181,0.52,0.48,0.48,0.175,0.345,0.099,0.667,8522,0,0,0,70.5,5.1,23.2,46.5,4.9,12.7,0.36,474.999981125197,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
4,MARIA MAAI,245,676,2.5,78,0.195,0.612,0.192,0.768,0.232,0.232,0.192,0.576,0.032,0.669,4637,67,9,58.8,4.5,4.5,42.6,34.2,7.9,7.1,0.452,1495.57524727192,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
5,PARERA,22,56,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,4.5,25.5,51.1,8.5,4.3,0.326,171.779138466067,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
6,AMSTERDAM BIJ STA. ROSA,136,383,2.8,82,0.214,0.721,0.065,0.825,0.175,0.177,0.185,0.639,0.041,0.659,7081,78,7.1,65.4,8.8,2.2,36.4,42.4,3.4,11.8,2.094,182.903525076589,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
7,PIETERMAAI,44,99,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,11.4,34.1,35.2,2.3,5.7,0.182,543.956055001006,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
8,ARRARATWIJK,11,19,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,18.2,27.8,44.4,5.6,11.1,0.719,26.4255917647104,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
9,PISCADERA BERDE,72,346,2.7,92,0.13,0.494,0.376,0.675,0.325,0.35,0.158,0.492,0.045,0.823,8593,0,0.9,71.8,59.7,0,36.2,36.5,14,7.8,0.709,488.01128940569,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
10,BAAI MACOLA,34,74,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,14.7,34.8,42.4,4.5,1.5,0.439,168.564916245293,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
11,WACAO (geozone),40,107,2.7,98,0.187,0.664,0.15,0.841,0.159,0.159,0.075,0.766,0,0.821,4695,0,0,0,0,0,44.7,32.9,9.4,8.2,2.422,44.1783662400857,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
12,PLANTERSRUST,50,135,2.7,73,0.178,0.652,0.17,0.659,0.341,0.341,0.163,0.496,0.008,0.785,6375,0,0,0,66,6,39.4,33.9,8.3,11,0.11,1227.27273392283,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
13,POPO,136,358,2.6,86,0.226,0.701,0.073,0.64,0.36,0.36,0.204,0.436,0.043,0.647,5033,0,10.2,74.4,6.6,4.5,26.5,46.3,3.7,12.3,0.558,641.577028584699,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
14,BARBOUQUET,356,998,2.7,80,0.152,0.658,0.189,0.801,0.199,0.199,0.189,0.612,0.025,0.737,5015,41,8.7,59.6,5.9,6.6,40.4,39.7,7.6,7.3,0.578,1726.64357155151,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
15,POS CABAI,61,138,2.3,70,0.225,0.529,0.246,0.536,0.464,0.464,0.239,0.297,0.124,0.587,10351,0,0,0,4.9,1.6,20.4,55.3,9.7,2.9,0.402,343.283573538563,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
